MEMBER_FOLLOWING_ID	MY_MEMBER_ID	YOUR_MEMBER_ID	FOLLOW_DATETIME
1	1	2	2006/12/24 23:59:59
2	1	3	2007/11/11 16:16:16
3	1	4	2006/12/23 22:56:29
4	1	5	2007/11/01 02:13:00
5	1	6	2012/05/24 23:12:59
6	1	9	2005/11/11 16:32:01
7	1	15	2006/01/28 23:59:59
8	1	18	2007/11/09 16:23:00
9	2	1	2009/12/22 23:59:59
10	2	3	2007/11/11 09:01:00
11	2	4	2006/11/23 23:59:59
12	2	9	2012/11/15 12:43:00
13	2	14	2006/12/24 23:59:59
14	2	19	2011/04/01 16:23:01
15	3	1	2006/12/24 23:59:20
16	3	2	2008/05/01 12:23:02
17	3	4	2006/12/24 23:59:21
18	3	6	2009/06/11 17:23:03
19	3	9	2010/12/24 23:59:22
20	3	10	2007/11/01 16:12:04
21	4	1	2006/12/24 23:59:23
22	4	2	2007/11/01 16:23:05
23	4	3	2011/12/24 23:59:24
24	4	4	2007/11/01 16:23:06
25	4	5	2013/05/24 11:59:25
26	4	6	2007/06/21 01:23:57
27	4	9	2006/12/24 23:59:26
28	4	11	2007/11/01 16:23:08
29	4	12	2013/02/24 23:59:27
30	4	13	2012/11/01 16:23:03
31	4	14	2006/07/24 23:59:28
32	4	15	2007/11/01 17:23:10
33	4	16	2007/11/01 16:23:10
34	4	17	2006/07/24 23:59:29
35	4	18	2011/11/01 17:23:11
36	4	19	2007/11/01 16:23:11
37	5	1	2008/07/24 23:59:30
38	5	3	2007/11/01 17:23:12
39	5	6	2007/11/01 16:23:12
40	6	1	2006/07/24 23:59:31
41	6	2	2007/11/01 17:23:13
42	6	3	2007/11/01 16:23:13
43	6	4	2006/07/24 23:52:32
44	6	5	2007/11/01 11:23:14
45	6	6	2007/11/21 06:23:14
46	8	1	2011/07/24 23:52:33
47	8	2	2007/11/01 11:23:15
48	8	3	2007/11/21 06:23:15
49	9	1	2006/07/24 23:52:34
50	9	2	208/11/01 11:23:16
51	9	3	2007/11/21 06:23:16
52	9	10	2006/07/24 23:52:35
53	9	20	2009/11/01 11:23:17
54	10	1	2007/11/21 06:23:17
55	10	2	2006/07/24 23:52:36
56	10	3	2010/11/01 11:23:18
57	10	4	2006/12/21 23:59:59
58	10	5	2007/11/1 16:16:16
59	10	6	2006/08/23 22:56:29
60	10	9	2007/11/01 02:11:00
61	10	11	2012/05/24 23:12:59
62	10	12	2005/11/10 16:32:01
63	10	13	2006/01/28 23:59:59
64	10	14	2007/10/09 16:23:00
65	10	15	2009/12/22 23:59:59
66	10	16	2007/11/01 09:01:00
67	10	17	2006/11/23 23:59:59
68	10	18	2011/11/15 12:43:00
69	10	19	2006/07/24 23:59:59
70	10	20	2011/08/01 16:23:01
71	11	12	2006/09/24 23:59:20
72	11	13	2008/01/01 12:23:02
73	11	14	2006/12/24 23:59:21
74	11	15	2009/02/11 17:23:03
75	11	16	2010/03/24 23:59:22
76	11	17	2007/09/01 16:12:04
77	11	19	2006/12/24 23:59:23
78	12	1	2007/11/01 16:23:05
79	12	11	2011/05/24 23:59:24
80	12	13	2007/11/01 16:23:06
81	12	14	2013/06/24 11:59:25
82	12	15	2007/06/21 01:23:57
83	12	19	2006/12/24 23:59:26
84	13	11	2007/08/01 16:23:08
85	13	12	2013/02/24 23:59:27
86	13	14	2012/11/01 16:23:03
87	14	1	2006/07/24 23:59:28
88	14	10	2012/05/24 23:12:59
89	14	11	2005/11/10 16:32:01
90	14	20	2006/01/28 23:59:59
91	16	17	2007/10/09 16:23:00
92	17	16	2009/12/22 23:59:59
93	18	1	2007/11/01 09:01:00
94	18	2	2006/11/23 23:59:59
95	18	3	2011/11/15 12:43:00
96	18	4	2006/07/24 23:59:59
97	18	5	2011/08/01 16:23:01
98	18	6	2006/09/24 23:59:20
99	18	9	2008/01/01 12:23:02
100	18	11	2006/12/24 23:59:21
101	18	12	2009/02/11 17:23:03
102	18	13	2010/03/24 23:59:22
103	18	14	2007/09/01 16:12:04
104	18	15	2006/12/24 23:59:23
105	19	1	2007/11/01 16:23:05
106	19	10	2011/05/24 23:59:24
107	19	11	2007/11/01 16:23:06
108	19	12	2013/06/24 11:59:25
109	19	20	2013/06/24 11:59:25
110	20	10	2013/06/24 11:59:25
111	20	19	2013/06/24 11:59:25
